Aeroport,Code_aeroport,Ville,Pays
Goroka Airport,GKA,Goroka,Papua New Guinea
Madang Airport,MAG,Madang,Papua New Guinea
Mount Hagen Kagamuga Airport,HGU,Mount Hagen,Papua New Guinea
Nadzab Airport,LAE,Nadzab,Papua New Guinea
Port Moresby Jacksons International Airport,POM,Port Moresby,Papua New Guinea
Wewak International Airport,WWK,Wewak,Papua New Guinea
Narsarsuaq Airport,UAK,Narssarssuaq,Greenland
Godthaab / Nuuk Airport,GOH,Godthaab,Greenland
Kangerlussuaq Airport,SFJ,Sondrestrom,Greenland
Thule Air Base,THU,Thule,Greenland
Akureyri Airport,AEY,Akureyri,Iceland
Egilsstaðir Airport,EGS,Egilsstadir,Iceland
Hornafjörður Airport,HFN,Hofn,Iceland
Húsavík Airport,HZK,Husavik,Iceland
Ísafjörður Airport,IFJ,Isafjordur,Iceland
Keflavik International Airport,KEF,Keflavik,Iceland
Patreksfjörður Airport,PFJ,Patreksfjordur,Iceland
Reykjavik Airport,RKV,Reykjavik,Iceland
Siglufjörður Airport,SIJ,Siglufjordur,Iceland
Vestmannaeyjar Airport,VEY,Vestmannaeyjar,Iceland
Sault Ste Marie Airport,YAM,Sault Sainte Marie,Canada
Winnipeg / St. Andrews Airport,\N,Winnipeg,Canada
Halifax / CFB Shearwater Heliport,\N,Halifax,Canada
St. Anthony Airport,YAY,St. Anthony,Canada
Tofino / Long Beach Airport,YAZ,Tofino,Canada
Kugaaruk Airport,YBB,Pelly Bay,Canada
Baie Comeau Airport,YBC,Baie Comeau,Canada
CFB Bagotville,YBG,Bagotville,Canada
Baker Lake Airport,YBK,Baker Lake,Canada
Campbell River Airport,YBL,Campbell River,Canada
Brandon Municipal Airport,YBR,Brandon,Canada
Cambridge Bay Airport,YCB,Cambridge Bay,Canada
Nanaimo Airport,YCD,Nanaimo,Canada
Castlegar/West Kootenay Regional Airport,YCG,Castlegar,Canada
Miramichi Airport,YCH,Chatham,Canada
Charlo Airport,YCL,Charlo,Canada
Kugluktuk Airport,YCO,Coppermine,Canada
Coronation Airport,YCT,Coronation,Canada
Chilliwack Airport,YCW,Chilliwack,Canada
Clyde River Airport,YCY,Clyde River,Canada
Coral Harbour Airport,YZS,Coral Harbour,Canada
Dawson City Airport,YDA,Dawson,Canada
Burwash Airport,YDB,Burwash,Canada
Princeton Airport,\N,Princeton,Canada
Deer Lake Airport,YDF,Deer Lake,Canada
Dease Lake Airport,YDL,Dease Lake,Canada
Dauphin Barker Airport,YDN,Dauphin,Canada
Dawson Creek Airport,YDQ,Dawson Creek,Canada
Edmonton International Airport,YEG,Edmonton,Canada
Arviat Airport,YEK,Eskimo Point,Canada
Estevan Airport,YEN,Estevan,Canada
Edson Airport,YET,Edson,Canada
Eureka Airport,YEU,Eureka,Canada
Inuvik Mike Zubko Airport,YEV,Inuvik,Canada
Iqaluit Airport,YFB,Iqaluit,Canada
Fredericton Airport,YFC,Fredericton,Canada
Forestville Airport,YFE,Forestville,Canada
Flin Flon Airport,YFO,Flin Flon,Canada
Fort Resolution Airport,YFR,Fort Resolution,Canada
Fort Simpson Airport,YFS,Fort Simpson,Canada
Kingston Norman Rogers Airport,YGK,Kingston,Canada
La Grande Rivière Airport,YGL,La Grande Riviere,Canada
Gaspé (Michel-Pouliot,YGP,Gaspe,Canada
Geraldton Greenstone Regional Airport,YGQ,Geraldton,Canada
Îles-de-la-Madeleine Airport,YGR,Iles De La Madeleine,Canada
Hudson Bay Airport,YHB,Hudson Bay,Canada
Dryden Regional Airport,YHD,Dryden,Canada
Ulukhaktok Holman Airport,YHI,Holman Island,Canada
Gjoa Haven Airport,YHK,Gjoa Haven,Canada
John C. Munro Hamilton International Airport,YHM,Hamilton,Canada
Montréal / Saint-Hubert Airport,YHU,Montreal,Canada
Hay River / Merlyn Carter Airport,YHY,Hay River,Canada
Halifax / Stanfield International Airport,YHZ,Halifax,Canada
Atikokan Municipal Airport,YIB,Atikokan,Canada
Pond Inlet Airport,YIO,Pond Inlet,Canada
St Jean Airport,YJN,St. Jean,Canada
Stephenville Airport,YJT,Stephenville,Canada
Kamloops Airport,YKA,Kamloops,Canada
Waterloo Airport,YKF,Waterloo,Canada
Schefferville Airport,YKL,Schefferville,Canada
Kindersley Airport,YKY,Kindersley,Canada
Buttonville Municipal Airport,YKZ,Toronto,Canada
Chapleau Airport,YLD,Chapleau,Canada
Meadow Lake Airport,YLJ,Meadow Lake,Canada
Lloydminster Airport,YLL,Lloydminster,Canada
Alert Airport,YLT,Alert,Canada
Kelowna International Airport,YLW,Kelowna,Canada
Mayo Airport,YMA,Mayo,Canada
Moose Jaw Air Vice Marshal C. M. McEwen Airport,YMJ,Moose Jaw,Canada
Fort McMurray Airport,YMM,Fort Mcmurray,Canada
Moosonee Airport,YMO,Moosonee,Canada
Maniwaki Airport,YMW,Maniwaki,Canada
Montreal International (Mirabel,YMX,Montreal,Canada
Natashquan Airport,YNA,Natashquan,Canada
Ottawa / Gatineau Airport,YND,Gatineau,Canada
Matagami Airport,YNM,Matagami,Canada
Old Crow Airport,YOC,Old Crow,Canada
CFB Cold Lake,YOD,Cold Lake,Canada
High Level Airport,YOJ,High Level,Canada
Ottawa Macdonald-Cartier International Airport,YOW,Ottawa,Canada
Prince Albert Glass Field,YPA,Prince Albert,Canada
Peace River Airport,YPE,Peace River,Canada
Southport Airport,YPG,Portage-la-prairie,Canada
Pitt Meadows Airport,\N,Pitt Meadows,Canada
Pickle Lake Airport,YPL,Pickle Lake,Canada
Port Menier Airport,YPN,Port Menier,Canada
Peterborough Airport,YPQ,Peterborough,Canada
Prince Rupert Airport,YPR,Prince Pupert,Canada
Fort Chipewyan Airport,YPY,Fort Chipewyan,Canada
Muskoka Airport,YQA,Muskoka,Canada
Quebec Jean Lesage International Airport,YQB,Quebec,Canada
Red Deer Regional Airport,YQF,Red Deer Industrial,Canada
Windsor Airport,YQG,Windsor,Canada
Watson Lake Airport,YQH,Watson Lake,Canada
Kenora Airport,YQK,Kenora,Canada
Lethbridge County Airport,YQL,Lethbridge,Canada
Greater Moncton International Airport,YQM,Moncton,Canada
Comox Airport,YQQ,Comox,Canada
Regina International Airport,YQR,Regina,Canada
Thunder Bay Airport,YQT,Thunder Bay,Canada
Grande Prairie Airport,YQU,Grande Prairie,Canada
Yorkton Municipal Airport,YQV,Yorkton,Canada
North Battleford Airport,YQW,North Battleford,Canada
Gander International Airport,YQX,Gander,Canada
Sydney / J.A. Douglas McCurdy Airport,YQY,Sydney,Canada
Quesnel Airport,YQZ,Quesnel,Canada
Resolute Bay Airport,YRB,Resolute,Canada
Rivière-du-Loup Airport,YRI,Riviere Du Loup,Canada
Roberval Airport,YRJ,Roberval,Canada
Rocky Mountain House Airport,YRM,Rocky Mountain House,Canada
Rankin Inlet Airport,YRT,Rankin Inlet,Canada
Sudbury Airport,YSB,Sudbury,Canada
Sherbrooke Airport,YSC,Sherbrooke,Canada
Saint John Airport,YSJ,St. John,Canada
Fort Smith Airport,YSM,Fort Smith,Canada
Nanisivik Airport,YSR,Nanisivik,Canada
Summerside Airport,YSU,Summerside,Canada
Sachs Harbour (David Nasogaluak Jr. Saaryuaq,YSY,Sachs Harbour,Canada
Cape Dorset Airport,YTE,Cape Dorset,Canada
Thompson Airport,YTH,Thompson,Canada
CFB Trenton,YTR,Trenton,Canada
Timmins/Victor M. Power,YTS,Timmins,Canada
Billy Bishop Toronto City Centre Airport,YTZ,Toronto,Canada
Tuktoyaktuk Airport,YUB,Tuktoyaktuk,Canada
Montreal / Pierre Elliott Trudeau International Airport,YUL,Montreal,Canada
Repulse Bay Airport,YUT,Repulse Bay,Canada
Hall Beach Airport,YUX,Hall Beach,Canada
Rouyn Noranda Airport,YUY,Rouyn,Canada
La Ronge Airport,YVC,La Ronge,Canada
Vermilion Airport,YVG,Vermillion,Canada
Qikiqtarjuaq Airport,YVM,Broughton Island,Canada
Val-d'Or Airport,YVO,Val D'or,Canada
Kuujjuaq Airport,YVP,Quujjuaq,Canada
Norman Wells Airport,YVQ,Norman Wells,Canada
Vancouver International Airport,YVR,Vancouver,Canada
Buffalo Narrows Airport,YVT,Buffalo Narrows,Canada
Wiarton Airport,YVV,Wiarton,Canada
Petawawa Airport,YWA,Petawawa,Canada
Winnipeg / James Armstrong Richardson International Airport,YWG,Winnipeg,Canada
Wabush Airport,YWK,Wabush,Canada
Williams Lake Airport,YWL,Williams Lake,Canada
Wrigley Airport,YWY,Wrigley,Canada
Cranbrook/Canadian Rockies International Airport,YXC,Cranbrook,Canada
Edmonton City Centre (Blatchford Field,YXD,Edmonton,Canada
Saskatoon John G. Diefenbaker International Airport,YXE,Saskatoon,Canada
Medicine Hat Airport,YXH,Medicine Hat,Canada
Fort St John Airport,YXJ,Fort Saint John,Canada
Sioux Lookout Airport,YXL,Sioux Lookout,Canada
Pangnirtung Airport,YXP,Pangnirtung,Canada
Earlton (Timiskaming Regional,YXR,Earlton,Canada
Prince George Airport,YXS,Prince George,Canada
Northwest Regional Airport Terrace-Kitimat,YXT,Terrace,Canada
London Airport,YXU,London,Canada
Abbotsford Airport,YXX,Abbotsford,Canada
Whitehorse / Erik Nielsen International Airport,YXY,Whitehorse,Canada
North Bay Jack Garland Airport,YYB,North Bay,Canada
Calgary International Airport,YYC,Calgary,Canada
Smithers Airport,YYD,Smithers,Canada
Fort Nelson Airport,YYE,Fort Nelson,Canada
Penticton Airport,YYF,Penticton,Canada
Charlottetown Airport,YYG,Charlottetown,Canada
Taloyoak Airport,YYH,Spence Bay,Canada
Victoria International Airport,YYJ,Victoria,Canada
Lynn Lake Airport,YYL,Lynn Lake,Canada
Swift Current Airport,YYN,Swift Current,Canada
Churchill Airport,YYQ,Churchill,Canada
Goose Bay Airport,YYR,Goose Bay,Canada
St. John's International Airport,YYT,St. John's,Canada
Kapuskasing Airport,YYU,Kapuskasing,Canada
Armstrong Airport,YYW,Armstrong,Canada
Mont Joli Airport,YYY,Mont Joli,Canada
Lester B. Pearson International Airport,YYZ,Toronto,Canada
Downsview Airport,YZD,Toronto,Canada
Gore Bay Manitoulin Airport,YZE,Gore Bay,Canada
Yellowknife Airport,YZF,Yellowknife,Canada
Slave Lake Airport,YZH,Slave Lake,Canada
Sandspit Airport,YZP,Sandspit,Canada
Chris Hadfield Airport,YZR,Sarnia,Canada
Port Hardy Airport,YZT,Port Hardy,Canada
Whitecourt Airport,YZU,Whitecourt,Canada
Sept-Îles Airport,YZV,Sept-iles,Canada
Teslin Airport,YZW,Teslin,Canada
CFB Greenwood,YZX,Greenwood,Canada
Faro Airport,ZFA,Faro,Canada
Fort Mcpherson Airport,ZFM,Fort Mcpherson,Canada
Blida Airport,QLD,Blida,Algeria
Bou Saada Airport,BUJ,Bou Saada,Algeria
Soummam Airport,BJA,Bejaja,Algeria
Houari Boumediene Airport,ALG,Algier,Algeria
Djanet Inedbirene Airport,DJG,Djanet,Algeria
Boufarik Airport,\N,Boufarik,Algeria
Reggane Airport,\N,Reggan,Algeria
Illizi Takhamalt Airport,VVZ,Illizi,Algeria
Ain Oussera Airport,\N,Ain Oussera,Algeria
Aguenar – Hadj Bey Akhamok Airport,TMR,Tamanrasset,Algeria
Jijel Ferhat Abbas Airport,GJL,Jijel,Algeria
Mecheria Airport,MZW,Mecheria,Algeria
Relizane Airport,\N,Relizane,Algeria
Rabah Bitat Airport,AAE,Annaba,Algeria
Mohamed Boudiaf International Airport,CZL,Constantine,Algeria
Cheikh Larbi Tébessi Airport,TEE,Tebessa,Algeria
Hassi R'Mel Airport,HRM,Tilrempt,Algeria
Bou Chekif Airport,TID,Tiaret,Algeria
Bou Sfer Airport,\N,Bou Sfer,Algeria
Tindouf Airport,TIN,Tindouf,Algeria
Ech Cheliff Airport,CFK,Ech-cheliff,Algeria
Tafaraoui Airport,TAF,Oran,Algeria
Zenata – Messali El Hadj Airport,TLM,Tlemcen,Algeria
Es Senia Airport,ORN,Oran,Algeria
Sidi Bel Abbes Airport,BFW,Sidi Bel Abbes,Algeria
Ghriss Airport,MUW,Ghriss,Algeria
Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,Adrar,Algeria
Biskra Airport,BSK,Biskra,Algeria
El Golea Airport,ELG,El Golea,Algeria
Noumérat - Moufdi Zakaria Airport,GHA,Ghardaia,Algeria
Oued Irara Airport,HME,Hassi Messaoud,Algeria
In Salah Airport,INZ,In Salah,Algeria
Touggourt Sidi Madhi Airport,TGR,Touggourt,Algeria
Laghouat Airport,LOO,Laghouat,Algeria
Timimoun Airport,TMX,Timimoun,Algeria
Ain el Beida Airport,OGX,Ouargla,Algeria
In Aménas Airport,IAM,Zarzaitine,Algeria
Cadjehoun Airport,COO,Cotonou,Benin
Ouagadougou Airport,OUA,Ouagadougou,Burkina Faso
Bobo Dioulasso Airport,BOY,Bobo-dioulasso,Burkina Faso
Kotoka International Airport,ACC,Accra,Ghana
Tamale Airport,TML,Tamale,Ghana
Wa Airport,\N,Wa,Ghana
Sunyani Airport,NYI,Sunyani,Ghana
Takoradi Airport,TKD,Takoradi,Ghana
Port Bouet Airport,ABJ,Abidjan,Cote d'Ivoire
Bouaké Airport,BYK,Bouake,Cote d'Ivoire
Daloa Airport,DJO,Daloa,Cote d'Ivoire
Korhogo Airport,HGO,Korhogo,Cote d'Ivoire
Man Airport,MJC,Man,Cote d'Ivoire
San Pedro Airport,SPY,San Pedro,Cote d'Ivoire
Yamoussoukro Airport,ASK,Yamoussoukro,Cote d'Ivoire
Nnamdi Azikiwe International Airport,ABV,Abuja,Nigeria
Akure Airport,AKR,Akure,Nigeria
Benin Airport,BNI,Benin,Nigeria
Margaret Ekpo International Airport,CBQ,Calabar,Nigeria
Akanu Ibiam International Airport,ENU,Enugu,Nigeria
Gusau Airport,\N,Gusau,Nigeria
Ibadan Airport,IBA,Ibadan,Nigeria
Ilorin International Airport,ILR,Ilorin,Nigeria
Yakubu Gowon Airport,JOS,Jos,Nigeria
Kaduna Airport,KAD,Kaduna,Nigeria
Mallam Aminu International Airport,KAN,Kano,Nigeria
Maiduguri International Airport,MIU,Maiduguri,Nigeria
Makurdi Airport,MDI,Makurdi,Nigeria
Murtala Muhammed International Airport,LOS,Lagos,Nigeria
Minna Airport,MXJ,Minna,Nigeria
Port Harcourt International Airport,PHC,Port Hartcourt,Nigeria
Sadiq Abubakar III International Airport,SKO,Sokoto,Nigeria
Yola Airport,YOL,Yola,Nigeria
Zaria Airport,ZAR,Zaria,Nigeria
Maradi Airport,MFQ,Maradi,Niger
Diori Hamani International Airport,NIM,Niamey,Niger
Tahoua Airport,THZ,Tahoua,Niger
Mano Dayak International Airport,AJY,Agadez,Niger
Dirkou Airport,\N,Dirkou,Niger
Diffa Airport,\N,Diffa,Niger
Zinder Airport,ZND,Zinder,Niger
Monastir Habib Bourguiba International Airport,MIR,Monastir,Tunisia
Tunis Carthage International Airport,TUN,Tunis,Tunisia
Sidi Ahmed Air Base,\N,Bizerte,Tunisia
Remada Air Base,\N,Remada,Tunisia
Gafsa Ksar International Airport,GAF,Gafsa,Tunisia
Gabès Matmata International Airport,GAE,Gabes,Tunisia
Borj El Amri Airport,\N,Bordj El Amri,Tunisia
Djerba Zarzis International Airport,DJE,Djerba,Tunisia
El Borma Airport,EBM,El Borma,Tunisia
Sfax Thyna International Airport,SFA,Sfax,Tunisia
Tozeur Nefta International Airport,TOE,Tozeur,Tunisia
Niamtougou International Airport,LRL,Niatougou,Togo
Lomé-Tokoin Airport,LFW,Lome,Togo
Antwerp International Airport (Deurne,ANR,Antwerp,Belgium
Beauvechain Air Base,\N,Beauvechain,Belgium
Kleine Brogel Air Base,\N,Kleine Brogel,Belgium
Brussels Airport,BRU,Brussels,Belgium
Jehonville Air Base,\N,Bertrix,Belgium
Brussels South Charleroi Airport,CRL,Charleroi,Belgium
Chièvres Air Base,\N,Chievres,Belgium
Koksijde Air Base,\N,Koksijde,Belgium
Florennes Air Base,\N,Florennes,Belgium
Wevelgem Airport,KJK,Kortrijk-vevelgem,Belgium
Liège Airport,LGG,Liege,Belgium
