Espèce;tendance annuelle;Intervalle de confiance inférieur;Intervalle de confiance supérieur;pourcentage de variation 2001-2018;significatif;Catégorie de tendance EBCC
Etourneau sansonnet;1.011;1.006;1.016;20.679;TRUE;Augmentation modérée
Accenteur mouchet;;0.975;0.983;-30.257;TRUE;Déclin modéré
Aigrette garzette;1.014;1.007;1.021;26.209;TRUE;Augmentation modérée
Alouette des champs;0.983;0.981;0.985;-24.772;TRUE;Déclin modéré
Alouette lulu;0.994;0.99;0.998;-9.845;TRUE;Déclin modéré
Avocette élégante;1.008;1.005;;14.607;TRUE;Augmentation modérée
Bécasseau variable;0.972;0.966;0.978;-37.885;TRUE;Déclin modéré
Bergeronnette des ruisseaux;0.995;0.986;1.004;-7.41;FALSE;Stable
Bergeronnette grise;0.998;0.993;1.003;-3.842;FALSE;Stable
Bergeronnette printanière;0.992;0.987;0.997;-13.395;TRUE;
Bouscarle de Cetti;0.998;0.994;1.002;-3.124;FALSE;Stable
Bouvreuil pivoine;0.954;0.946;0.962;-54.761;TRUE;Déclin modéré
Bruant des roseaux;0.95;0.943;0.957;-57.881;TRUE;Déclin modéré
Bruant fou;0.958;0.952;0.964;-51.94;TRUE;Déclin modéré
Bruant jaune;0.953;0.95;0.956;-55.507;TRUE;Déclin modéré
Bruant ortolan;0.937;0.929;0.945;-66.817;TRUE;Fort déclin
Bruant proyer;0.984;0.981;0.987;-24.178;TRUE;Déclin modéré
Bruant zizi;0.996;0.992;1;-6.843;TRUE;Déclin modéré
Busard cendré;0.981;0.973;0.989;-27.64;TRUE;Déclin modéré
Busard des roseaux;1.01;1.001;1.019;17.584;TRUE;Augmentation modérée
Busard Saint-Martin;0.979;0.969;0.989;-29.802;TRUE;Déclin modéré
Buse variable;1;0.99;1;-2.74;FALSE;Stable
Butor étoilé;0.948;0.938;0.958;-59.369;TRUE;Déclin modéré
Caille des blés;0.966;0.959;0.973;-44.103;TRUE;Déclin modéré
Canard colvert;1.013;1.008;1.018;23.589;TRUE;Augmentation modérée
Chardonneret élégant;0.975;0.971;0.979;-34.839;TRUE;Déclin modéré
Chevalier aboyeur;0.966;0.956;0.976;-44.733;TRUE;Déclin modéré
Chevalier culblanc;0.986;0.973;0.999;-21.794;TRUE;Déclin modéré
